# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2014-01-01T00:00:00.0
# Date end (ISO 8601): 2022-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-02
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2014-01-01T00:00:00.0/2014-02-01T00:00:00.0;148579.2812;102321.5703;75864.6094;26456.9648;188143.9531;69907.0312;38169.0234;31738.0059;99590.5781;0.9803
2014-02-01T00:00:00.0/2014-03-01T00:00:00.0;174371.1719;123370.2812;93414.8750;29955.4082;193893.2031;87623.9688;53548.0000;34075.9688;112740.6094;0.9814
2014-03-01T00:00:00.0/2014-04-01T00:00:00.0;251359.9688;182445.3594;138754.3594;43690.9883;237936.6250;143882.2031;89630.0859;54252.1133;152935.2656;0.9814
2014-04-01T00:00:00.0/2014-05-01T00:00:00.0;296372.0938;213008.9844;157357.2969;55651.6914;238390.3281;170408.2969;100810.7969;69597.5000;155373.5781;0.9814
2014-05-01T00:00:00.0/2014-06-01T00:00:00.0;343042.3750;249431.2656;192021.2188;57410.0430;275894.0625;212731.0781;138325.9375;74405.1406;199747.6875;0.9805
2014-06-01T00:00:00.0/2014-07-01T00:00:00.0;345884.6562;243767.5938;178915.4688;64852.1172;250491.7344;211369.7500;144016.1719;67353.5859;205127.7188;0.9787
2014-07-01T00:00:00.0/2014-08-01T00:00:00.0;348740.0312;255589.5469;206901.0625;48688.4805;295867.9062;253961.8750;203961.5938;50000.2734;291353.8125;0.9799
2014-08-01T00:00:00.0/2014-09-01T00:00:00.0;317870.1562;230755.4688;184677.0312;46078.4414;275258.2500;229251.3281;181623.7188;47627.6055;271367.2500;0.9818
2014-09-01T00:00:00.0/2014-10-01T00:00:00.0;260515.7500;186038.3125;147741.0625;38297.2539;242587.7969;181420.2500;140616.2031;40804.0508;231026.5312;0.9830
2014-10-01T00:00:00.0/2014-11-01T00:00:00.0;210988.5156;148137.8750;113350.8281;34787.0430;218277.4375;108406.2500;67611.4688;40794.7852;132547.5625;0.9805
2014-11-01T00:00:00.0/2014-12-01T00:00:00.0;154480.2500;103978.5078;74550.4297;29428.0742;173372.3438;80357.3281;49830.8906;30526.4375;116586.3750;0.9753
2014-12-01T00:00:00.0/2015-01-01T00:00:00.0;134844.3906;92208.7812;70252.7656;21956.0137;187947.1875;56649.9141;30226.7930;26423.1211;84710.8906;0.9760
2015-01-01T00:00:00.0/2015-02-01T00:00:00.0;148322.2031;102488.9844;75461.1016;27027.8809;187791.2500;71441.0547;38080.0859;33360.9688;98525.4141;0.9760
