wind_speed_in_m_s,power_output_in_kW
0.00,0
0.50,0
1.00,0
1.50,0
2.00,0
2.50,10
3.00,19
3.50,71
4.00,122
4.50,212
5.00,303
5.50,428
6.00,554
6.50,753
7.00,953
7.50,1153
8.00,1375
8.50,1648
9.00,1944
9.50,2221
10.00,2498
10.50,2717
11.00,2936
11.50,2985
12.00,3000
12.50,3000
13.00,3000
13.50,3000
14.00,3000
14.50,3000
15.00,3000
15.50,3000
16.00,3000
16.50,3000
17.00,3000
17.50,3000
18.00,3000
18.50,3000
19.00,3000
19.50,3000
20.00,3000
20.50,3000
21.00,3000
21.50,3000
22.00,3000
22.50,3000
23.00,3000
23.50,3000
24.00,3000
24.50,3000
25.00,3000
25.50,0
26.00,0
26.50,0
27.00,0
27.50,0
28.00,0
28.50,0
29.00,0
29.50,0
30.00,0
30.50,0
31.00,0
31.50,0
32.00,0
32.50,0
33.00,0
33.50,0
34.00,0
34.50,0
35.00,0
