datetime,wind_speed_in_m_per_s,wind_direction_in_deg
2023-01-01 00:00:00,12.4,207.79
2023-01-01 01:00:00,12.81,212.1
2023-01-01 02:00:00,13.03,212.68
2023-01-01 03:00:00,12.84,212.53
2023-01-01 04:00:00,12.93,211.65
2023-01-01 05:00:00,13.28,211.8
2023-01-01 06:00:00,13.41,216.8
2023-01-01 07:00:00,13.02,218.68
2023-01-01 08:00:00,12.25,223.87
2023-01-01 09:00:00,11.3,239.99
2023-01-01 10:00:00,11.23,262.01
2023-01-01 11:00:00,10.66,268.77
2023-01-01 12:00:00,10.17,267.36
2023-01-01 13:00:00,9.72,263.47
2023-01-01 14:00:00,9.88,264.18
2023-01-01 15:00:00,10.07,267.07
2023-01-01 16:00:00,9.93,269.03
2023-01-01 17:00:00,9.75,269.97
2023-01-01 18:00:00,9.46,270.74
2023-01-01 19:00:00,9.24,272.36
2023-01-01 20:00:00,8.74,272.3
2023-01-01 21:00:00,8.08,268.35
2023-01-01 22:00:00,7.61,264.23
2023-01-01 23:00:00,7.33,260.88
2023-01-02 00:00:00,7.08,256.85
2023-01-02 01:00:00,7.32,252.99
2023-01-02 02:00:00,7.54,249.06
2023-01-02 03:00:00,7.94,241.95
2023-01-02 04:00:00,8.51,231.64
2023-01-02 05:00:00,9.39,219.98
2023-01-02 06:00:00,10.36,215.11
2023-01-02 07:00:00,11.33,213.75
2023-01-02 08:00:00,12.3,217.83
2023-01-02 09:00:00,13.49,221.3
2023-01-02 10:00:00,14.94,224.34
2023-01-02 11:00:00,15.52,229.57
2023-01-02 12:00:00,16.01,232.55
2023-01-02 13:00:00,15.99,241.48
2023-01-02 14:00:00,15.73,248.11
2023-01-02 15:00:00,15.7,251.27
2023-01-02 16:00:00,16.08,251.23
2023-01-02 17:00:00,16.16,254.29
2023-01-02 18:00:00,16.2,258.6
2023-01-02 19:00:00,15.91,262.45
2023-01-02 20:00:00,15.82,266.69
2023-01-02 21:00:00,15.77,270.49
2023-01-02 22:00:00,15.89,275.13
2023-01-02 23:00:00,15.52,282.69
2023-01-03 00:00:00,14.68,288.56
2023-01-03 01:00:00,13.86,290.25
2023-01-03 02:00:00,13.31,290.86
2023-01-03 03:00:00,12.73,289.46
2023-01-03 04:00:00,12.4,286.78
2023-01-03 05:00:00,12.3,284.29
2023-01-03 06:00:00,12.2,281.92
2023-01-03 07:00:00,12.56,281.88
2023-01-03 08:00:00,13.47,287.78
2023-01-03 09:00:00,13.27,290.43
2023-01-03 10:00:00,12.59,293.42
2023-01-03 11:00:00,11.08,293.2
2023-01-03 12:00:00,9.58,289.28
2023-01-03 13:00:00,8.75,284.69
2023-01-03 14:00:00,8.51,280.57
2023-01-03 15:00:00,8.15,277.44
2023-01-03 16:00:00,7.74,269.94
2023-01-03 17:00:00,7.8,262.39
2023-01-03 18:00:00,7.77,257.23
2023-01-03 19:00:00,7.81,251.28
2023-01-03 20:00:00,8.08,241.58
2023-01-03 21:00:00,8.5,235.96
2023-01-03 22:00:00,9.13,233.81
2023-01-03 23:00:00,9.33,229.69
2023-01-04 00:00:00,9.82,225.91
2023-01-04 01:00:00,10.59,222.59
2023-01-04 02:00:00,11.57,220.71
2023-01-04 03:00:00,12.01,221.9
2023-01-04 04:00:00,12.1,223.79
2023-01-04 05:00:00,12.04,225.69
2023-01-04 06:00:00,11.98,227.47
2023-01-04 07:00:00,11.23,227.94
2023-01-04 08:00:00,10.8,229.44
2023-01-04 09:00:00,10.26,232.13
2023-01-04 10:00:00,10.78,233.46
2023-01-04 11:00:00,10.45,235.3
2023-01-04 12:00:00,10.11,236.58
