datetime,power_in_kW,wind_speed_in_m_per_s,wind_direction_in_deg
2023-01-01 00:00:00,3000.0,12.4,207.79
2023-01-01 01:00:00,3000.0,12.81,212.1
2023-01-01 02:00:00,3000.0,13.03,212.68
2023-01-01 03:00:00,3000.0,12.84,212.53
2023-01-01 04:00:00,3000.0,12.93,211.65
2023-01-01 05:00:00,3000.0,13.28,211.8
2023-01-01 06:00:00,3000.0,13.41,216.8
2023-01-01 07:00:00,3000.0,13.02,218.68
2023-01-01 08:00:00,3000.0,12.25,223.87
2023-01-01 09:00:00,2965.79,11.3,239.99
2023-01-01 10:00:00,2958.15,11.23,262.01
2023-01-01 11:00:00,2786.83,10.66,268.77
2023-01-01 12:00:00,2573.97,10.17,267.36
2023-01-01 13:00:00,2340.94,9.72,263.47
2023-01-01 14:00:00,2429.78,9.88,264.18
2023-01-01 15:00:00,2527.05,10.07,267.07
2023-01-01 16:00:00,2460.1,9.93,269.03
2023-01-01 17:00:00,2357.2,9.75,269.97
2023-01-01 18:00:00,2201.61,9.46,270.74
2023-01-01 19:00:00,2078.88,9.24,272.36
2023-01-01 20:00:00,1788.63,8.74,272.3
2023-01-01 21:00:00,1420.56,8.08,268.35
2023-01-01 22:00:00,1202.58,7.61,264.23
2023-01-01 23:00:00,1086.36,7.33,260.88
2023-01-02 00:00:00,983.96,7.08,256.85
2023-01-02 01:00:00,1080.91,7.32,252.99
2023-01-02 02:00:00,1170.5,7.54,249.06
2023-01-02 03:00:00,1347.79,7.94,241.95
2023-01-02 04:00:00,1651.67,8.51,231.64
2023-01-02 05:00:00,2161.1,9.39,219.98
2023-01-02 06:00:00,2653.83,10.36,215.11
2023-01-02 07:00:00,2968.42,11.33,213.75
2023-01-02 08:00:00,3000.0,12.3,217.83
2023-01-02 09:00:00,3000.0,13.49,221.3
2023-01-02 10:00:00,3000.0,14.94,224.34
2023-01-02 11:00:00,3000.0,15.52,229.57
2023-01-02 12:00:00,3000.0,16.01,232.55
2023-01-02 13:00:00,3000.0,15.99,241.48
2023-01-02 14:00:00,3000.0,15.73,248.11
2023-01-02 15:00:00,3000.0,15.7,251.27
2023-01-02 16:00:00,3000.0,16.08,251.23
