# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-05-03
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-06-01T00:00:00.0/2023-06-02T00:00:00.0;11431.6826;7828.6753;5110.3491;2718.3262;6950.9160;6491.5776;3218.8875;3272.6904;4036.6982;0.9823
2023-06-02T00:00:00.0/2023-06-03T00:00:00.0;11445.9824;7901.3691;5262.0659;2639.3032;7216.7466;6240.2993;2997.8940;3242.4055;4041.9675;0.9816
2023-06-03T00:00:00.0/2023-06-04T00:00:00.0;11459.4355;8309.7754;6404.8252;1904.9504;9019.2842;8309.7754;6404.8252;1904.9504;9019.2842;0.9812
2023-06-04T00:00:00.0/2023-06-05T00:00:00.0;11472.0527;8410.5352;6714.0522;1696.4832;9538.0898;8410.5352;6714.0522;1696.4832;9538.0898;0.9812
2023-06-05T00:00:00.0/2023-06-06T00:00:00.0;11483.9277;8255.0352;6294.8096;1960.2252;8817.5010;7680.4580;4658.2749;3022.1831;6714.4854;0.9809
2023-06-06T00:00:00.0/2023-06-07T00:00:00.0;11494.9365;8345.7412;6448.6411;1897.1002;8965.8594;7904.8887;5636.7539;2268.1348;7305.8901;0.9809
2023-06-07T00:00:00.0/2023-06-08T00:00:00.0;11505.1797;7793.8853;4943.0972;2850.7883;6651.0713;3458.8208;348.5757;3110.2451;615.4316;0.9802
2023-06-08T00:00:00.0/2023-06-09T00:00:00.0;11514.5723;7746.3955;4848.2080;2898.1875;6646.4546;7168.1045;3947.3982;3220.7061;5282.1304;0.9802
2023-06-09T00:00:00.0/2023-06-10T00:00:00.0;11523.2070;8339.6494;6503.3384;1836.3110;9207.8418;8295.1592;6390.9629;1904.1964;8992.9570;0.9799
2023-06-10T00:00:00.0/2023-06-11T00:00:00.0;11530.9912;8410.9492;6797.4609;1613.4885;9678.0107;6801.6436;3473.1609;3328.4829;5335.9492;0.9799
2023-06-11T00:00:00.0/2023-06-12T00:00:00.0;11538.0205;8486.6846;6993.2822;1493.4027;10044.3652;8475.3652;6977.4570;1497.9083;9948.5029;0.9795
2023-06-12T00:00:00.0/2023-06-13T00:00:00.0;11544.2383;8403.1543;6772.8936;1630.2609;9675.5420;8320.2715;6538.7305;1781.5406;9353.8672;0.9792
2023-06-13T00:00:00.0/2023-06-14T00:00:00.0;11549.6631;8444.0850;6932.0645;1512.0210;9919.5840;8421.3369;6875.8428;1545.4939;9810.6904;0.9788
