# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-05-03
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-06-01T00:00:00.0/2023-06-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-01T01:00:00.0/2023-06-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-01T02:00:00.0/2023-06-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-01T03:00:00.0/2023-06-01T04:00:00.0;54.8582;16.8934;2.8727;14.0207;31.8370;8.4441;0.0014;8.4427;0.0157;0.6750
2023-06-01T04:00:00.0/2023-06-01T05:00:00.0;294.5524;140.3607;58.2950;82.0657;244.7361;128.0378;50.7217;77.3162;197.0996;0.9750
2023-06-01T05:00:00.0/2023-06-01T06:00:00.0;548.1306;328.5486;185.1304;143.4182;441.5065;302.2037;137.1813;165.0224;338.8270;1.0000
2023-06-01T06:00:00.0/2023-06-01T07:00:00.0;784.6557;524.0800;334.9836;189.0964;563.2372;430.7607;145.7302;285.0305;247.7349;1.0000
2023-06-01T07:00:00.0/2023-06-01T08:00:00.0;988.0173;698.4514;475.4573;222.9941;636.5019;534.6105;135.5610;399.0495;182.7366;1.0000
2023-06-01T08:00:00.0/2023-06-01T09:00:00.0;1144.3654;834.4282;586.8806;247.5476;678.9484;691.1902;243.4095;447.7807;279.9028;1.0000
2023-06-01T09:00:00.0/2023-06-01T10:00:00.0;1243.0542;920.5934;656.2435;264.3499;699.1567;885.0347;543.3466;341.6881;577.1509;1.0000
2023-06-01T10:00:00.0/2023-06-01T11:00:00.0;1277.3687;949.9063;676.0447;273.8616;700.9448;949.2402;674.2761;274.9641;699.1049;1.0000
2023-06-01T11:00:00.0/2023-06-01T12:00:00.0;1244.9814;919.5039;644.0292;275.4747;685.0006;898.7963;588.5582;310.2381;626.3724;1.0000
2023-06-01T12:00:00.0/2023-06-01T13:00:00.0;1148.1119;830.3535;562.0318;268.3216;647.8561;825.6168;550.3586;275.2582;634.2045;1.0000
2023-06-01T13:00:00.0/2023-06-01T14:00:00.0;993.3738;689.6402;439.4000;250.2402;584.6214;480.5483;131.7491;348.7992;170.4021;1.0000
2023-06-01T14:00:00.0/2023-06-01T15:00:00.0;791.3235;510.9290;293.4674;217.4617;488.4176;198.8786;5.4193;193.4594;8.4001;1.0000
2023-06-01T15:00:00.0/2023-06-01T16:00:00.0;555.7400;314.9100;150.5906;164.3194;353.0644;67.0458;0.2564;66.7895;0.5327;1.0000
2023-06-01T16:00:00.0/2023-06-01T17:00:00.0;302.6842;132.8910;42.9161;89.9750;174.0135;73.9840;10.3117;63.6723;53.1401;1.0000
2023-06-01T17:00:00.0/2023-06-01T18:00:00.0;60.4660;17.1859;2.0064;15.1796;21.0738;17.1859;2.0064;15.1796;21.0738;0.9250
