category,Forecasted Power Output(kW),Actual Power Output(kW)
Sat Nov 23 2024,3470.2,3610.6
Sat Nov 23 2024,3430.1,3614
Sat Nov 23 2024,3130.8,3620.6
Sat Nov 23 2024,767.7,3594.8
Sat Nov 23 2024,181.5,3495.6
Sat Nov 23 2024,609,2251.6
Sat Nov 23 2024,2018.7,263.1
Sat Nov 23 2024,3430.1,309.5
Sat Nov 23 2024,3495.4,550.1
Sat Nov 23 2024,3470.2,0
Sat Nov 23 2024,3472.7,368.2
Sat Nov 23 2024,1722.3,2261.2
Sat Nov 23 2024,767.7,775.7
Sat Nov 23 2024,1202.5,2235.9
Sat Nov 23 2024,1202.5,2534.5
Sat Nov 23 2024,2311.8,3587.5
Sat Nov 23 2024,3356.8,2908.3
Sat Nov 23 2024,3440,3595
Sat Nov 23 2024,3472.6,3616.4
Sat Nov 23 2024,3314.1,3595
Sat Nov 23 2024,2311.8,2874.1
Sat Nov 23 2024,2018.7,3616.5
Sat Nov 23 2024,2311.8,3634.1
Sat Nov 23 2024,2311.8,2819.7
Sun Nov 24 2024,1202.5,3085.5
