wind_speed_in_m_s,power_output_in_kW
0,0
0.5,0
1,0
1.5,0
2,0
2.5,30
3,69
3.5,138
4,228
4.5,330
5,460
5.5,640
6,890
6.5,1140
7,1417
7.5,1735
8,2056
8.5,2330
9,2594
9.5,2860
10,3000
10.5,3000
11,3000
11.5,3000
12,3000
12.5,3000
13,3000
13.5,3000
14,3000
14.5,3000
15,3000
15.5,3000
16,3000
16.5,3000
17,3000
17.5,3000
18,3000
18.5,3000
19,3000
19.5,3000
20,3000
20.5,3000
21,3000
21.5,3000
22,3000
22.5,3000
23,3000
23.5,3000
24,3000
24.5,3000
25,3000
25.5,3000
26,3000
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
